"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
1.9383,523.03,121.88,2.047e+05,1.3977,367.71,2.6,0.44871,0
2.0055,511.45,129.71,2.1436e+05,1.3643,372.3,2.7,0.4735,0
2.0384,505.71,133.49,2.1914e+05,1.3483,374.51,2.8,0.49828,0
2.051,503.46,135.05,2.2098e+05,1.3422,375.33,2.9,0.52307,0
2.0539,502.88,135.57,2.2139e+05,1.3407,375.52,3,0.54785,0
2.0527,502.99,135.63,2.2123e+05,1.3412,375.45,3.1,0.57264,0
2.0501,503.35,135.54,2.2087e+05,1.3423,375.31,3.2,0.59742,0
2.0473,503.78,135.44,2.2046e+05,1.3436,375.14,3.3,0.62221,0
2.0443,504.24,135.36,2.2004e+05,1.3449,374.97,3.4,0.64699,0
2.0412,504.74,135.33,2.196e+05,1.3465,374.79,3.5,0.67178,0
2.0378,505.33,135.36,2.1911e+05,1.3484,374.58,3.6,0.69656,0
2.0338,506.05,135.43,2.1852e+05,1.3507,374.29,3.7,0.72135,0
2.0287,507.08,135.53,2.1765e+05,1.3543,373.75,3.8,0.74613,0
2.0191,509.35,135.52,2.1559e+05,1.3632,371.97,3.9,0.77092,0
1.9449,522.18,129.45,2.0389e+05,1.4052,364.99,4,0.79571,0
1.8043,545.02,115.12,1.8338e+05,1.478,353.8,4.1,0.79571,0
1.6669,566.71,98.017,1.6445e+05,1.5488,343.43,4.2,0.79571,0
1.5489,584.98,80.839,1.4894e+05,1.6107,334.75,4.3,0.79571,0
1.4516,599.89,64.885,1.3662e+05,1.6633,327.68,4.4,0.79571,0
1.373,611.91,50.759,1.2694e+05,1.7075,321.96,4.5,0.79571,0
1.3102,621.54,38.704,1.194e+05,1.7441,317.36,4.6,0.79571,0
1.2607,629.21,28.748,1.1355e+05,1.7742,313.7,4.7,0.79571,0
1.2222,635.28,20.779,1.0906e+05,1.7987,310.81,4.8,0.79571,0
1.1925,640.06,14.601,1.0564e+05,1.8182,308.56,4.9,0.79571,0
1.17,643.82,9.9614,1.0305e+05,1.8338,306.81,5,0.79571,0
1.1529,646.79,6.5902,1.011e+05,1.8461,305.47,5.1,0.79571,0
1.1401,649.17,4.2208,99630,1.856,304.43,5.2,0.79571,0
1.1303,651.1,2.6101,98509,1.864,303.62,5.3,0.79571,0
